"species","sample_id","block","co2","water","total_biomass","soil_nitrate","soil_ammonium","soil_phosphate","RSR","ClRootNo_root","OAexuded_plant","OArhizo_plant","OAexuded_root","OArhizo_root","OAexudedC_plant","OArhizoC_plant","OAexudedC_root","OArhizoC_root"
"H.sericea","1","A","aCO2","High_watered",0.6431,173.133333333333,0.759333333333333,0.553333333333333,0.126269702276708,83.2177531206657,10.6852585623004,13.4285740951613,148.200534844665,186.24929396895,4.42237511917388,5.557768360791,61.3366868123978,77.0841658916921
"H.sericea","2","B","aCO2","High_watered",0.7206,25.9453333333333,1.27533333333333,0.666666666666667,0.0875339571385451,103.448275862069,4.05604445176259,48.7896601340457,69.9318008924585,841.201036793891,1.67870060992483,13.9914348177367,28.9431139642212,241.231634788563
"H.sericea","3","C","aCO2","High_watered",0.8308,99.534,0.494666666666667,0.393333333333333,0.119676549865229,78.8288288288288,21.2633594955317,24.7458974153011,239.452246571303,278.670015938075,8.80040023690779,10.2417400938866,99.1036062714842,115.334910967191
"H.sericea","4","D","aCO2","High_watered",0.9184,155.380666666667,0.522,0.613333333333333,0.128394151615678,86.1244019138756,9.16611952773711,12.2032094273518,87.7140624663839,116.777123706716,3.79363949898763,5.05061898417651,36.3027703252405,48.3312821452298
"H.sericea","5","E","aCO2","High_watered",0.3788,87.9173333333333,0.471333333333333,0.56,0.0982893592345607,353.982300884956,6.56019999298793,52.7814733926871,193.516223981945,1556.97561630345,2.71511120265757,20.3456304550791,80.0917758896039,600.166090120329
"H.sericea","6","F","aCO2","High_watered",0.7056,76.6086666666667,0.642,0.46,0.0929368029739777,166.666666666667,9.8526940145726,16.5580926821541,164.211566909543,275.968211369236,4.07779639704843,6.85300188774928,67.9632732841404,114.216698129155
"H.sericea","7","G","aCO2","High_watered",0.3858,63.2273333333333,1.18733333333333,0.613333333333333,0.115028901734104,226.130653266332,6.0112656785492,12.1082605125322,151.036826094201,304.227651068648,2.48792030782985,5.011321880036,62.5105604982375,125.912610051156
"H.sericea","8","H","aCO2","High_watered",0.663,107.312,0.44,0.48,0.101694915254237,114.37908496732,15.8390495557979,679.146175358362,258.807999277744,11097.1597280778,6.55540698978117,244.167331853762,107.114493297078,3989.66228519219
"H.sericea","9","A","aCO2","Low_watered",1.0067,256.358666666667,0.454666666666667,0.286666666666667,0.123173044739485,63.4057971014493,45.1998935782632,4.8102334142643,409.419325890065,43.5709548393506,12.818576608715,1.99084153599383,116.110295368795,18.0329849274803
"H.sericea","10","B","aCO2","Low_watered",0.7018,154.308666666667,0.439333333333333,0.446666666666667,0.138177100227052,129.107981220657,5.58692565328072,84.7792219614,65.5742447568159,995.06129062676,2.31229603454947,23.3950379006908,27.1396248186558,274.589646721723
"H.sericea","11","C","aCO2","Low_watered",0.7296,245.750666666667,0.412,0.0666666666666667,0.110502283105023,137.741046831956,7.02867452026801,9.64753747224911,96.8136986262811,132.886191077812,2.90900169967557,3.99288696944616,40.0688939349251,54.998443105319
"H.sericea","12","D","aCO2","Low_watered",1.1376,196.554,0.446666666666667,0.28,0.141824751580849,77.8485491861288,27.6549876665211,17.8518043484848,195.718242508995,126.339733534925,11.4457435601028,7.38843846620997,81.0031391373167,52.2890195768575
"H.sericea","13","E","aCO2","Low_watered",1.054,227.592666666667,0.4,0.393333333333333,0.12847965738758,58.3333333333333,17.6836685519952,20.4089195480221,147.36390459996,170.074329566851,7.31885104736531,8.44676780558538,60.9904253947109,70.3897317132115
"H.sericea","14","F","aCO2","Low_watered",0.9114,187.175333333333,0.566,0.333333333333333,0.13541796437025,36.7985280588776,23.5251676986513,21.9591123193296,216.422885912156,202.015752707724,9.73650901363974,9.08835583097406,89.5723000334843,83.6095292637908
"H.sericea","15","G","aCO2","Low_watered",1.0815,264.906666666667,0.429333333333333,0.273333333333333,0.112082262210797,55.045871559633,20.4262450216185,90.6107479186863,187.396743317601,831.291265309048,8.45393840823517,26.7890480530725,77.5590679654603,245.771083055711
"H.sericea","16","H","aCO2","Low_watered",1.1871,199.908666666667,0.457333333333333,0.12,0.12053992826128,62.646828504307,20.5108579517494,27.8027131089388,160.617525072431,217.718975011267,8.48895769342981,11.5068836174265,66.4757846000768,90.1087205749922
"H.sericea","17","I","eCO2","High_watered",1.0555,136.270666666667,0.584,0.42,0.0983350676378772,116.402116402116,17.4086934250579,27.4645927678016,184.21897804294,290.630611299488,7.20504536333163,11.3669436267175,76.2438662786415,120.285117743042
"H.sericea","18","J","eCO2","High_watered",1.5518,92.6873333333333,0.842,0.746666666666667,0.0952851496329757,59.2592592592593,25.0570975415183,98.7070344292889,185.608129937173,731.163217994732,10.3705384460502,37.959881695032,76.8188033040759,281.184308852089
